Lead ID,Evidence Type,Evidence Summary,Source URL,Verified At,Run ID,Campaign ID
N5K-0243,Legal,"Действующее ООО «Авто Сувенир»; ИНН 7743799795; ОГРН 1107746944360; собственник 100% и генеральный директор Зевакин Алексей Владимирович.",https://companies.rbc.ru/id/1107746944360-ooo-avto-suvenir/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0243,Scale,Выручка 50.181 млн ₽ за 2025 год; 9 сотрудников.,https://companies.rbc.ru/id/1107746944360-ooo-avto-suvenir/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0243,Signal,"S1: построение отдела продаж с нуля по нескольким направлениям; B2B/VIP; CRM, воронка, аналитика и unit economics.",https://hh.ru/vacancy/130066730,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0243,Brand Match,HH-профиль работодателя и вакансия связывают бренд «Авто Сувенир» с компанией и её автомобильным B2B-профилем.,https://hh.ru/employer/1582146,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0243,Contact Route,Практический маршрут: HH-вакансия/профиль работодателя с просьбой передать сообщение собственнику и гендиректору Зевакину А.В.,https://hh.ru/vacancy/130066730,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0244,Legal,"Действующее ООО «Медальянс Клиник»; ИНН 7716821219; ОГРН 1167746307740; гендиректор Азаровский Артём Евгеньевич.",https://xfirm.ru/company/7716821219,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0244,Scale,Выручка 224.9 млн ₽ за 2025 год; 31 сотрудник.,https://xfirm.ru/company/7716821219,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0244,Signal,"S1: внедрение CRM с нуля, двухуровневая модель call-center + отделы продаж, рост конверсии/среднего чека/выручки и KPI.",https://hh.ru/vacancy/129665943,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0244,Brand Match,Официальный сайт и реквизиты связывают бренд «Медальянс Клиник» с ООО «Медальянс Клиник».,https://medalclinic.ru/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0244,Contact Route,Официальные телефон +7 (499) 302-07-03 и email info@medalclinic.ru; дополнительно HH-маршрут к гендиректору.,https://medalclinic.ru/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Legal,"Действующее ООО «КОСИМА»; ИНН 7704746711; ОГРН 1107746106247; гендиректор и совладелец Черноуцан Сергей Игоревич.",https://companies.rbc.ru/id/1107746106247-ooo-kosima/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Scale,Выручка 137.858 млн ₽ за 2025 год; 12 сотрудников.,https://saby.ru/profile/7704746711-773101001,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Signal,"S1: масштабирование продаж через каналы, партнёрства и дистрибуцию без потери управляемости; cross-sales; развитие команды.",https://hh.ru/vacancy/129797037,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Brand Match,Официальный сайт cosyma.pro и открытые реестровые данные связывают бренд КОСИМА с ООО «КОСИМА».,https://cosyma.pro/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Contact Route,"Официальные контакты: +7 495 902-54-01, info@cosyma.pro; sales +7 977 089-10-02 / sales@cosyma.pro; HH-маршрут к собственнику/CEO.",https://cosyma.pro/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0246,Legal,"Действующее ООО «Технологии социального строительства»; ИНН 7714938966; ОГРН 1147746745750; собственник 100% и гендиректор Михайлов Александр Павлович.",https://companies.rbc.ru/id/1147746745750-ooo-tehnologii-sotsialnogo-stroitelstva/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0246,Scale,Выручка 50.567 млн ₽ за 2025 год; 18 сотрудников.,https://companies.rbc.ru/id/1147746745750-ooo-tehnologii-sotsialnogo-stroitelstva/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0246,Signal,S1: рост продаж среднего чека и чистой прибыли; развитие и систематизация продаж; прямое подчинение основателям.,https://hh.ru/vacancy/129372241,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0246,Brand Match,Официальный сайт REMONT.IO публикует реквизиты ООО «Технологии социального строительства» ИНН 7714938966.,https://remont.io/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0246,Contact Route,Официальные контакты marketing@remont.io и +7 495 191-25-32; дополнительно HH-маршрут к собственнику/CEO.,https://remont.io/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
