Lead ID,Contact Type,Contact Value,Contact Source,Verified At,Run ID,Campaign ID
N5K-0240,Phone,+7 (495) 777-18-44,https://rus-line.com/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0240,Email,crm@rus-line.com,https://rus-line.com/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0240,Website,https://rus-line.com/,https://rus-line.com/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0240,Vacancy,https://careerist.ru/vakansii/rukovoditel-otdela-prodazh-b2b-inzhenernye-resheniya-83383782.html,https://careerist.ru/vakansii/rukovoditel-otdela-prodazh-b2b-inzhenernye-resheniya-83383782.html,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0241,Phone,+7 (495) 780-36-00,https://ritso.ru/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0241,Email,am@ritso.ru,https://ritso.ru/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0241,Website,https://ritso.ru/,https://ritso.ru/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0241,HH,https://hh.ru/vacancy/129743385,https://hh.ru/vacancy/129743385,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0242,Phone,+7 (495) 792-57-37,https://crscompany.ru/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0242,Email,order@crscompany.ru,https://crscompany.ru/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0242,Website,https://crscompany.ru/,https://crscompany.ru/,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
N5K-0242,Vacancy,https://dreamjob.ru/employers/465493/vakansii/125668157,https://dreamjob.ru/employers/465493/vakansii/125668157,2026-08-15T15:08:51+03:00,N5K-20260815-236,new_5000
