Lead ID,Evidence Type,Evidence Summary,Source URL,Verified At,Run ID,Campaign ID
N5K-0253,Legal,Действующее ООО СМАРТСОФТ; ИНН 6321321945; ОГРН 1136320019450; генеральный директор и совладелец Мальцев Алексей Николаевич,https://smartlombard.ru/contact/rekvizityi/,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0253,Scale,Выручка за 2025 год 94 308 000 ₽; 14 сотрудников по реестровым данным,https://companies.rbc.ru/id/1136320019450-ooo-smartsoft/,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0253,Signal,S1: требуется кратный рост выручки и системные продажи; CRM; ключевые клиенты; новые регионы; масштабирование; процессы с нуля; прямая работа с основателем,https://togliatti.hh.ru/vacancy/130130115,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0253,Brand Match,Официальные реквизиты SmartLombard прямо указывают ООО СМАРТСОФТ с ИНН 6321321945 и генеральным директором Мальцевым Алексеем Николаевичем,https://smartlombard.ru/contact/rekvizityi/,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0253,Contact Route,Официальные телефон и email плюс HH-вакансия дают практический корпоративный маршрут к генеральному директору/совладельцу,https://smartlombard.ru/contact/,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0254,Legal,Действующее ООО ОТКРЫТЫЙ РИТЕЙЛ; ИНН 9721126373; ОГРН 1217700184360; собственник 100% и генеральный директор Быковская Анна Анатольевна,https://companies.rbc.ru/id/1217700184360-obschestvo-s-ogranichennoj-otvetstvennostyu-otkryityij-ritejl/,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0254,Scale,Выручка за 2025 год 81 564 000 ₽; 8 сотрудников,https://firmoteka.ru/9721126373,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0254,Signal,S1: B2B-производство запускает новое производство на инвестиционные средства; нужен РОП для построения отдела с нуля; CRM Bitrix24; воронка; KPI; LTV/CAC; маржа и BI-аналитика,https://hh.ru/vacancy/129157584,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0254,Brand Match,Официальный сайт Group Pack прямо указывает ООО ОТКРЫТЫЙ РИТЕЙЛ и ИНН 9721126373,https://group-pack.ru/,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
N5K-0254,Contact Route,Официальные телефон email и форма сайта плюс HH-вакансия дают практический корпоративный маршрут к собственнику-гендиректору,https://group-pack.ru/,2026-08-15T21:01:59+03:00,N5K-20260815-240,new_5000
