Lead ID,Evidence Type,Evidence Summary,Source URL,Verified At,Run ID,Campaign ID
N5K-0247,Legal,"Действующее ООО «ФРЕШ 69»; ИНН 6950042313; ОГРН 1156952023018; гендиректор Демидов Дмитрий Анатольевич; собственник 100% Колесников Дмитрий Сергеевич.",https://companies.rbc.ru/id/1156952023018-ooo-fresh-69/,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0247,Scale,"Выручка 178.0 млн ₽ за 2025 год; 27 сотрудников.",https://companium.ru/id/1156952023018-fresh-69,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0247,Signal,"S1: РОП отвечает за результат, воронку, ключевые метрики, развитие команды и масштабирование бизнеса; компания ищет системное управление процессами.",https://dreamjob.ru/employers/176482/vakansii/130999487,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0247,Brand Match,"Официальный сайт Единый центр TRADE-IN публикует ООО «Фреш 69», ИНН 6950042313 и ОГРН 1156952023018.",https://tradeintver.ru/auto,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0247,Contact Route,"Официальные контакты +7 (4822) 45-21-14 и info@tradeintver.ru; вакансия даёт дополнительный маршрут к руководству.",https://tradeintver.ru/evaluation,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0248,Legal,"Действующее ООО «ГРУППА МЕТТАТРОН»; ИНН 7733651334; ОГРН 1087746480612; Нижник Михаил Дмитриевич — собственник 100% и гендиректор.",https://companies.rbc.ru/id/1087746480612-ooo-gruppa-mettatron/,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0248,Scale,"Выручка 352.096 млн ₽ за 2025 год; 43 сотрудника.",https://companies.rbc.ru/id/1087746480612-ooo-gruppa-mettatron/,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0248,Signal,"S1: свежая вакансия руководителя отдела продаж B2B; компания сочетает собственное производство, инжиниринг и дистрибуцию и усиливает коммерческий контур.",https://nesiditsa.ru/vacancy/133663339,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0248,Brand Match,"Официальный сайт публикует реквизиты ООО «Группа МЕТТАТРОН», ИНН 7733651334, ОГРН 1087746480612.",https://www.mettatron.ru/kontakty,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0248,Contact Route,"Официальные телефоны +7 (495) 925-51-27 и +7 (495) 324-23-45, форма обратной связи; вакансия — дополнительный маршрут к owner-CEO.",https://www.mettatron.ru/kontakty,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0249,Legal,"Действующее ООО «РТК АВТОМАТИКА»; ИНН 9719006061; ОГРН 1207700270524; 100% учредитель АО «МЗТА»; гендиректор Тутунджян Артем Агасиевич.",https://companies.rbc.ru/id/1207700270524-obschestvo-s-ogranichennoj-otvetstvennostyu-rtk-avtomatika/,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0249,Scale,"Выручка 258.090 млн ₽ за 2025 год; 33 сотрудника.",https://companies.rbc.ru/id/1207700270524-obschestvo-s-ogranichennoj-otvetstvennostyu-rtk-avtomatika/,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0249,Signal,"S1: в вакансии РОПа прямо указано — стратегия развития продаж отсутствует; требуется анализ, годовая стратегия, план продаж, мотивация, наставничество и систематизация процессов.",https://hh.ru/vacancy/129863304,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0249,Brand Match,"HH-профиль РТК Автоматика связывает компанию с ГК МЗТА и сайтом mzta.ru; юрлицо подтверждено реестровыми источниками.",https://hh.ru/employer/4846045,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
N5K-0249,Contact Route,"Публичный партнёрский каталог подтверждает +7 (495) 720-54-44 и ok@mzta.ru; HH-вакансия — дополнительный маршрут к гендиректору.",https://astra.ru/ready-for-astra/companies-partners/37619/,2026-08-15T19:03:54+03:00,N5K-20260815-238,new_5000
