Evidence ID,Lead ID,Brand,Evidence Type,Evidence Date,Title,Summary,Source Name,Source URL,What It Confirms,Reliability,Checked At
E-054,GRM-026,Атмосферика,юридические и финансовые данные,2026-07-26,Карточка ООО «Атмосферика»,"ИНН, ОГРН, собственник и генеральный директор Гайдучек; выручка 486.417 млн ₽ и рост 51.45%",РБК Компании,https://companies.rbc.ru/id/1127847550962-ooo-atmosferika/,"Юрлицо, масштаб, динамика и ЛПР",HIGH,2026-07-26
E-055,GRM-026,Атмосферика,операционный масштаб и контакты,2026-07-26,Официальный сайт Атмосферики,"12 лет на рынке, 1000+ проектов, B2B IT/телеком-решения, телефоны и email отделов",Официальный сайт,https://atmospherica.ru/; https://atmospherica.ru/about-us/,"Бизнес-контекст, масштаб и маршрут связи",HIGH,2026-07-26
E-056,GRM-026,Атмосферика,вакансия,2026-01-30,Руководитель отдела продаж,"Запуск и масштабирование направления с нуля, CRM, KPI, аналитика и unit-экономика",HH,https://hh.ru/vacancy/129991530,S2-сигнал коммерческой перестройки,HIGH,2026-07-26
E-057,GRM-027,Кристон-Кадастр,юридические и финансовые данные,2026-07-26,Карточка ООО «КРИСТОН-КАДАСТР»,"Выручка 73.696 млн ₽, прибыль 5.444 млн ₽, 13 сотрудников, директор и два совладельца",РБК Компании,https://companies.rbc.ru/id/1167746456404-ooo-kriston-kadastr/,"Юрлицо, масштаб, сотрудники и ЛПР",HIGH,2026-07-26
E-058,GRM-027,Кристон-Кадастр,контакты,2026-07-26,Официальные контакты Кристон-Кадастр,"Телефон, email, реквизиты, адрес и генеральный директор опубликованы на сайте",Официальный сайт,https://kriston-kadastr.ru/contacts,Точный legal match и рабочий маршрут,HIGH,2026-07-26
E-059,GRM-027,Кристон-Кадастр,вакансия,2026-02-08,Руководитель отдела продаж,"Компания предлагает руководителю влиять на стратегию, развитие и коммерческий результат",HH,https://hh.ru/vacancy/129480935,S2-сигнал усиления коммерческой функции,HIGH,2026-07-26
E-060,GRM-028,Авто Сувенир,юридические и финансовые данные,2026-07-26,Карточка ООО «Авто Сувенир»,"Действующая компания, 9 сотрудников, собственник и директор Зевакин; выручка снизилась с 75.58 до 50.181 млн ₽",РБК Компании,https://companies.rbc.ru/id/1107746944360-ooo-avto-suvenir/,"Юрлицо, масштаб, падение выручки и ЛПР",HIGH,2026-07-26
E-061,GRM-028,Авто Сувенир,вакансия,2026-02-02,РОП по нескольким направлениям B2B,"Построение отдела с нуля, CRM, аналитика, unit-экономика и рост до коммерческого директора",HH,https://hh.ru/vacancy/130066730,S2-сигнал коммерческой перестройки,HIGH,2026-07-26
E-062,GRM-028,Авто Сувенир,контакт,2026-07-26,Карточка организации на карте,Публичный телефон по адресу юридического лица,Яндекс Карты,https://yandex.com/maps/org/avto_suvenir/88775955424/,Практический маршрут связи,MEDIUM,2026-07-26
E-063,GRM-029,Агентство недвижимости «Ключ»,юрлицо и контакты,2026-07-26,Официальный сайт агентства «Ключ»,"Сайт связывает бренд с ИП Мухетдиновым Данисом Рустамовичем, публикует ИНН и email",Официальный сайт,https://kluch.me/o-kompanii/,"Бренд, ИП, основатель и контакт",HIGH,2026-07-26
E-064,GRM-029,Агентство недвижимости «Ключ»,масштабирование,2026-07-26,10 лет агентству Kluch,"100+ сотрудников, 15000+ клиентов и выход на рынок Москвы",Официальный сайт,https://kluch.me/new/,Операционный масштаб и S2-сигнал экспансии,HIGH,2026-07-26
E-065,GRM-029,Агентство недвижимости «Ключ»,отраслевой реестр и контакт,2026-07-26,Член Гильдии риэлторов Республики Татарстан,"Руководитель Данис Мухетдинов, телефон и email агентства",Гильдия риэлторов РТ,https://grrt.info/members/agentstvo-nedvizhimosti-klyuch-ip-mukhetdinov-danis-rustamovich.html,ЛПР и маршрут связи,HIGH,2026-07-26
E-066,GRM-029,Агентство недвижимости «Ключ»,вакансия,2026-02-05,РОП направления новостроек,"Основатель усиливает направление и ищет РОПа-создателя, который понимает экономику сделок и воронку",HH,https://hh.ru/vacancy/129916548,S2-сигнал построения коммерческого направления,HIGH,2026-07-26
E-067,GRM-030,Крути Педали,операционный масштаб,2026-07-26,Официальный сайт велопроката,"650+ единиц парка, 40000+ клиентов в год, несколько точек и 18 лет работы",Официальный сайт,https://www.kruti-pedali.ru/,Реальный бизнес и операционный масштаб,HIGH,2026-07-26
E-068,GRM-030,Крути Педали,юридические данные,2026-07-26,Текущая платёжная страница,"В реквизитах указан ИП Латышева Н.Н., ИНН 773104959143 и ОГРН 319774600680871",Официальная платёжная страница,https://kruti-pedali2025.ru/webapp,Один из актуальных вариантов операционного лица,HIGH,2026-07-26
E-069,GRM-030,Крути Педали,расхождение реквизитов,2026-07-26,Оферта основного сайта,"В оферте указана ИП Зарина В.Н., что не совпадает с текущей платёжной страницей",Официальный сайт,https://www.kruti-pedali.ru/o-prokate/oferta.html,Причина статуса «НУЖНА ДОПРОВЕРКА»,HIGH,2026-07-26
E-070,GRM-030,Крути Педали,вакансия,2026-02-08,Операционный директор,"Прямая работа с собственником и развитие бизнеса, включая парк техники, логистику и стратегию роста",HH,https://hh.ru/vacancy/129481377,S2-сигнал операционной перестройки,HIGH,2026-07-26
