Evidence ID,Lead ID,Brand,Evidence Type,Evidence Date,Title,Summary,Source Name,Source URL,What It Confirms,Reliability,Checked At
E-143,GRM-048,OMNISAN Group,юридические данные,2026-07-28,Карточка ООО «ТД ОМНИСАН»,"ИНН 7723397696, ОГРН 1157746589846, действующее юрлицо; генеральный директор и совладелец Иванов Роман Александрович, второй совладелец Андрос Олег Николаевич",РБК Компании,https://companies.rbc.ru/id/1157746589846-ooo-torgovyij-dom-omnisan/,Юрлицо собственники и ЛПР,HIGH,2026-07-28
E-144,GRM-048,OMNISAN Group,финансовые данные,2026-07-28,Финансы ТД ОМНИСАН,"Выручка за 2025 год 171.60 млн ₽, прибыль 89 тыс. ₽; компания относится к малому бизнесу",Т-Банк,https://www.tbank.ru/business/contractor/legal/1157746589846/,Финансовый масштаб,HIGH,2026-07-28
E-145,GRM-048,OMNISAN Group,бизнес и связь бренда,2026-07-28,Официальный сайт OMNISAN Group,"Официальный сайт связывает бренд с ООО «ТД Омнисан» и ИНН 7723397696, показывает направления для розницы, снабженцев, монтажников, дизайнеров и проектирования, а также форму расчёта проекта",Официальный сайт,https://omnisan.group/,Бренд юрлицо сегменты и действующий бизнес,HIGH,2026-07-28
E-146,GRM-048,OMNISAN Group,контакты,2026-07-28,Официальные маршруты OMNISAN,"Опубликованы корпоративный email partner@omnisan.group.ru, адрес в Москве, форма сайта; связанный официальный магазин указывает телефон +7 495 067-75-51 и sales@vg-rus.ru и ведёт сделки через ООО «ТД Омнисан»",Официальные сайты,https://omnisan.group/privacy/; https://vg-rus.ru/o-kompanii/,Практический корпоративный маршрут,HIGH,2026-07-28
E-147,GRM-048,OMNISAN Group,вакансия,2025-12-26,Директор направления e-com,"Компания хочет превратить e-commerce в управляемый бизнес-юнит, повысить конверсию и маржинальность, связать digital с продажами, внедрить прозрачные метрики и запустить монобрендовый пилот; работа напрямую с собственником",HH,https://hh.ru/vacancy/129061488,S1-сигнал прямой коммерческой задачи,HIGH,2026-07-28
E-148,GRM-049,ДЮКС / ЭКО НОМ,юридические данные,2026-07-28,Карточка ООО «ДЮКС»,"ИНН 7710941397, ОГРН 1137746493697, действующее юрлицо; единственный собственник и генеральный директор Орлов Денис Владимирович; 35 сотрудников",РБК Компании,https://companies.rbc.ru/id/1137746493697-ooo-dyuks/,Юрлицо собственник ЛПР и численность,HIGH,2026-07-28
E-149,GRM-049,ДЮКС / ЭКО НОМ,финансовые данные,2026-07-28,Финансы ДЮКС,"Выручка за 2024 год 670.237 млн ₽, прибыль 32.352 млн ₽; масштаб превышает ядро ICP Growth Radar",РБК Компании,https://companies.rbc.ru/id/1137746493697-ooo-dyuks/,Финансовый масштаб и причина резерва,HIGH,2026-07-28
E-150,GRM-049,ДЮКС / ЭКО НОМ,связь бренда,2026-07-28,ЭКО НОМ в портфеле ДЮКС,"Вакансии работодателя связывают ООО «Дюкс» с российским брендом приборов учёта ЭКО НОМ и действующим производственно-торговым бизнесом",HH,https://hh.ru/vacancy/129918092; https://hh.ru/vacancy/129260628,Связь бренда и юрлица,MEDIUM,2026-07-28
E-151,GRM-049,ДЮКС / ЭКО НОМ,вакансия,2026-02-07,Директор по развитию нового направления,"Компания планирует активный рост ремонтно-отделочного направления: стратегия на 1–3 года, рост выручки и прибыли, запуск продуктов, партнёрства, воронка, CRM, P&L, unit-экономика, маржинальность и KPI; прямое подчинение собственнику",HH,https://hh.ru/vacancy/129626471,S1-сигнал запуска и систематизации направления,HIGH,2026-07-28
E-152,GRM-049,ДЮКС / ЭКО НОМ,контактный маршрут,2026-07-28,Owner-first маршрут ДЮКС,"Вакансия опубликована от подтверждённого работодателя и прямо указывает подчинение собственнику и быстрые решения без лишней бюрократии",HH,https://hh.ru/vacancy/129626471,Практический маршрут к собственнику,MEDIUM,2026-07-28
E-153,GRM-050,"АРТ СИТИ / официальный магазин ФСБР и PWL",юридические данные,2026-07-28,Реквизиты ООО «АРТ СИТИ»,"ИНН 9729043104, ОГРН 5167746410266, действующее юрлицо; генеральный директор Золкин Александр Викторович",Официальный сайт,https://shop.wrestrus.ru/rekvizit/,Юрлицо бренд и ЛПР,HIGH,2026-07-28
E-154,GRM-050,"АРТ СИТИ / официальный магазин ФСБР и PWL",собственники и финансы,2026-07-28,Карточка ООО «АРТ СИТИ»,"Учредители Федоров-Богомольный Макс Юрьевич и Яшич Тамара Михайловна; выручка за 2025 год 48.26 млн ₽; компания действует",Companium и РБК Компании,https://companium.ru/id/5167746410266-art-siti; https://companies.rbc.ru/okved/47.91/15/,Собственники финансовый масштаб и статус,HIGH,2026-07-28
E-155,GRM-050,"АРТ СИТИ / официальный магазин ФСБР и PWL",бизнес и контакты,2026-07-28,Официальный магазин ФСБР и PWL,"Сайт подтверждает официальный магазин Федерации спортивной борьбы России и PWL, B2B-раздел для команд, телефон +7 967 220-39-24, email shop@wrestrus.ru, Telegram-бот, WhatsApp и форму обратной связи",Официальный сайт,https://shop.wrestrus.ru/rekvizit/; https://shop.wrestrus.ru/,Действующий бизнес и практический маршрут,HIGH,2026-07-28
E-156,GRM-050,"АРТ СИТИ / официальный магазин ФСБР и PWL",вакансия,2026-06-14,Руководитель отдела продаж — экипировка для единоборств,"Компания сообщает об отсутствии системного коммерческого блока и ищет играющего руководителя для построения и масштабирования продаж; B2B-кастом для федераций, клубов и секций — основной канал, также развиваются дилерская сеть, маркетплейсы и экспорт в СНГ",HH,https://hh.ru/vacancies/menedzher_po_prodazham_tekstilya/polniy_den,S1-сигнал прямой задачи построения коммерческого блока,HIGH,2026-07-28
