Lead ID,Contact ID,Brand,INN,Person Name,Person Role,Contact Value,Contact Channel,Contact Type,Contact Source,Source URL,Is LPR,Reliability,Date Checked,Notes,Run ID,Campaign ID
N5K-0565,N5K-0565-C01,ПРОФУД / Profood,6679127590,,Корпоративный маршрут,+7 800 101-70-70,Phone,Corporate,Official Profood site,https://profood-trade.ru/,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0565,N5K-0565-C02,ПРОФУД / Profood,6679127590,,Корпоративный маршрут,b2b@profood-trade.ru,Email,B2B Sales,Official Profood site,https://profood-trade.ru/,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0565,N5K-0565-C03,ПРОФУД / Profood,6679127590,,Корпоративный маршрут,Current employer vacancy route,HH,Employer,HH current search,https://ekaterinburg.hh.ru/vacancies/rukovoditel_proektov_vnedreniya/ot_pryamih_rabotodateley,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0566,N5K-0566-C01,Полипласт Новомосковск / Polyplast Novomoskovsk,7116019123,,Корпоративный маршрут,+7 (487) 622-09-70,Phone,Corporate,Official Polyplast contacts,https://polyplast-un.ru/contacts/all/,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0566,N5K-0566-C02,Полипласт Новомосковск / Polyplast Novomoskovsk,7116019123,,Корпоративный маршрут,sekretar@polyplast-nm.ru,Email,Secretariat,Official Polyplast contacts,https://polyplast-un.ru/contacts/all/,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0566,N5K-0566-C03,Полипласт Новомосковск / Polyplast Novomoskovsk,7116019123,,Корпоративный маршрут,Official contact form,Form,Corporate,Official Polyplast Novomoskovsk,https://novomoskovsk.polyplast-un.ru/contacts/,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0567,N5K-0567-C01,CALLISTO VISION / ГК Каллисто,9725161234,,Корпоративный маршрут,+7 (499) 130-74-71,Phone,Corporate,Official Callisto contacts,https://callistovision.ru/contacts,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0567,N5K-0567-C02,CALLISTO VISION / ГК Каллисто,9725161234,,Корпоративный маршрут,info@callistovision.ru,Email,Corporate,Official Callisto contacts,https://callistovision.ru/contacts,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0567,N5K-0567-C03,CALLISTO VISION / ГК Каллисто,9725161234,,Корпоративный маршрут,Official contact form,Form,Corporate,Official Callisto feedback,https://callistovision.ru/page114754316.html,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0568,N5K-0568-C01,Металлстрой64 / Metallstroy64,6449095859,,Корпоративный маршрут,+7 988 888-81-64,Phone,Corporate,Official Metallstroy64 site,https://www.metallstroy64.com/,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0568,N5K-0568-C02,Металлстрой64 / Metallstroy64,6449095859,,Корпоративный маршрут,+7 999 888-00-64,Phone,Corporate,Official Metallstroy64 site,https://www.metallstroy64.com/,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
N5K-0568,N5K-0568-C03,Металлстрой64 / Metallstroy64,6449095859,,Корпоративный маршрут,Official question form,Form,Corporate,Official Metallstroy64 site,https://www.metallstroy64.com/,NO,HIGH,2026-08-27,,N5K-20260827-439,new_5000
