Lead ID,Contact Type,Contact Value,Contact Source,Verified At,Run ID,Campaign ID
N5K-0115,Phone,+7 (347) 200-90-47,https://www.kdoil.ru/,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0115,Phone,+7 (347) 286-58-20,https://www.kdoil.ru/,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0115,Email,info@kdoil.ru,https://www.kdoil.ru/,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0115,Vacancy,https://ufa.hh.ru/vacancy/129470271,https://ufa.hh.ru/vacancy/129470271,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0115,Form,https://www.kdoil.ru/,https://www.kdoil.ru/,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0116,Phone,+7 (499) 272-50-02,https://evropodshipnikm.ru/contacts/,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0116,Phone,+7 (800) 600-95-27,https://evropodshipnikm.ru/contacts/,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0116,Email,evropod@bk.ru,https://evropodshipnikm.ru/contacts/,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0116,Vacancy,https://hh.ru/vacancy/129917090,https://hh.ru/vacancy/129917090,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
N5K-0116,Form,https://evropodshipnikm.ru/contacts/,https://evropodshipnikm.ru/contacts/,2026-08-09T06:58:28+03:00,N5K-20260809-137,new_5000
