Lead ID,Contact ID,Brand,INN,Person Name,Person Role,Contact Value,Contact Channel,Contact Type,Contact Source,Source URL,Is LPR,Reliability,Date Checked,Notes,Run ID,Campaign ID
N5K-0547,N5K-0547-C01,Завод роботов / RobotFactory,7449141049,,Корпоративный маршрут,sales@robotfactory.ru,email,CORPORATE_SALES_EMAIL,Official RobotFactory,https://robotfactory.ru/kontakty/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0547,N5K-0547-C02,Завод роботов / RobotFactory,7449141049,,Корпоративный маршрут,+7 (351) 216-67-00,phone,CORPORATE_PHONE,Official RobotFactory,https://robotfactory.ru/kontakty/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0547,N5K-0547-C03,Завод роботов / RobotFactory,7449141049,,Корпоративный маршрут,+7 (982) 360-13-09,phone,SALES_PHONE,Official RobotFactory,https://robotfactory.ru/kontakty/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0548,N5K-0548-C01,Лазерные системы / Laser Systems,7819039902,,Корпоративный маршрут,sales@lsystems.ru,email,CORPORATE_SALES_EMAIL,Laser Systems,https://www.lsystems.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0548,N5K-0548-C02,Лазерные системы / Laser Systems,7819039902,,Корпоративный маршрут,office@lsystems.ru,email,CORPORATE_EMAIL,Laser Systems,https://www.lsystems.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0548,N5K-0548-C03,Лазерные системы / Laser Systems,7819039902,,Корпоративный маршрут,+7 (812) 612-02-88,phone,CORPORATE_PHONE,Laser Systems,https://www.lsystems.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0549,N5K-0549-C01,RTP / РТП,5011024884,,Корпоративный маршрут,sale@rtp.ru,email,CORPORATE_SALES_EMAIL,RTP,https://rtp.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0549,N5K-0549-C02,RTP / РТП,5011024884,,Корпоративный маршрут,+7 (495) 540-52-62,phone,CORPORATE_PHONE,RTP,https://rtp.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0549,N5K-0549-C03,RTP / РТП,5011024884,,Корпоративный маршрут,https://rtp.ru/contacts/,web,CONTACT_FORM,RTP,https://rtp.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0550,N5K-0550-C01,Эндо Старс / Endo Stars,7804409519,,Корпоративный маршрут,info@endo-stars.ru,email,CORPORATE_EMAIL,Endo Stars,https://endo-stars.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0550,N5K-0550-C02,Эндо Старс / Endo Stars,7804409519,,Корпоративный маршрут,+7 (812) 600-25-26,phone,CORPORATE_PHONE,Endo Stars,https://endo-stars.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0550,N5K-0550-C03,Эндо Старс / Endo Stars,7804409519,,Корпоративный маршрут,8 (800) 555-56-57,phone,CORPORATE_PHONE,Endo Stars,https://endo-stars.ru/contacts/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0551,N5K-0551-C01,УПТК-65,7801485085,,Корпоративный маршрут,zakaz_online@uptk65.ru,email,CORPORATE_SALES_EMAIL,УПТК-65,https://uptk65.ru/kontakty/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0551,N5K-0551-C02,УПТК-65,7801485085,,Корпоративный маршрут,+7 (812) 622-02-85,phone,CORPORATE_PHONE,УПТК-65,https://uptk65.ru/kontakty/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0551,N5K-0551-C03,УПТК-65,7801485085,,Корпоративный маршрут,+7 (812) 648-22-57,phone,CORPORATE_PHONE,УПТК-65,https://uptk65.ru/kontakty/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0552,N5K-0552-C01,Терра-Ток / Terra-Tok,6686036344,,Корпоративный маршрут,sales@terra-tok.ru,email,CORPORATE_SALES_EMAIL,Terra-Tok,https://terra-tok.ru/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0552,N5K-0552-C02,Терра-Ток / Terra-Tok,6686036344,,Корпоративный маршрут,+7 (800) 505-90-82,phone,CORPORATE_PHONE,Terra-Tok,https://terra-tok.ru/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0552,N5K-0552-C03,Терра-Ток / Terra-Tok,6686036344,,Корпоративный маршрут,+7 (343) 287-46-42,phone,CORPORATE_PHONE,Terra-Tok,https://terra-tok.ru/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0553,N5K-0553-C01,Мебельная фабрика Корона,0269021279,,Корпоративный маршрут,mail@korona-matras.ru,email,CORPORATE_EMAIL,Корона,https://matras-korona.ru/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0553,N5K-0553-C02,Мебельная фабрика Корона,0269021279,,Корпоративный маршрут,+7 (800) 100-03-42,phone,CORPORATE_PHONE,Корона,https://matras-korona.ru/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
N5K-0553,N5K-0553-C03,Мебельная фабрика Корона,0269021279,,Корпоративный маршрут,+7 (34782) 2-43-00,phone,CORPORATE_PHONE,Корона,https://matras-korona.ru/,NO,HIGH,2026-08-26,,N5K-20260826-434,new_5000
