Lead ID,Contact Type,Contact Value,Contact Source,Verified At,Run ID,Campaign ID
N5K-0124,Phone,+7 (916) 666-23-35,https://marrob.ru/o-nas/,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0124,Email,info@marrob.ru,https://marrob.ru/o-nas/,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0124,Vacancy,https://hh.ru/vacancy/130209818,https://hh.ru/vacancy/130209818,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0124,Form,https://marrob.ru/kontakty/,https://marrob.ru/kontakty/,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0125,Phone,+7 (800) 500-44-63,https://aceled.ru/contacts,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0125,Email,sales@aceled.ru,https://aceled.ru/contacts,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0125,Vacancy,https://hh.ru/vacancy/129668251,https://hh.ru/vacancy/129668251,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0126,Phone,+7 (343) 328-57-77,https://batissur.ru/contacts/,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0126,Email,zakaz@batissur.ru,https://batissur.ru/contacts/,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0126,Vacancy,https://ekaterinburg.hh.ru/vacancy/129625841,https://ekaterinburg.hh.ru/vacancy/129625841,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0126,Form,https://batissur.ru/contacts/,https://batissur.ru/contacts/,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0127,Phone,+7 (383) 331-32-33,https://velvet-steps.ru/,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0127,Email,infokompozit54@yandex.ru,https://velvet-steps.ru/,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0127,Vacancy,https://novosibirsk.hh.ru/vacancy/129957412,https://novosibirsk.hh.ru/vacancy/129957412,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0128,Phone,+7 (495) 278-08-98,https://www.fatfox.ru/contacts,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0128,Email,partners@fatfox.ru,https://www.fatfox.ru/contacts,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0128,Telegram,@fatfoxsupportbot,https://www.fatfox.ru/contacts,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0128,Vacancy,https://hh.ru/vacancies/head_of_sales,https://hh.ru/vacancies/head_of_sales,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
N5K-0128,Form,https://www.fatfox.ru/contacts,https://www.fatfox.ru/contacts,2026-08-09T14:03:15+03:00,N5K-20260809-144,new_5000
