Lead ID,Contact ID,Brand,INN,Person Name,Person Role,Contact Value,Contact Channel,Contact Type,Contact Source,Source URL,Is LPR,Reliability,Date Checked,Notes,Run ID,Campaign ID
N5K-0593,N5K-0593-C01,Адванта-М Ростов,6165219934,,Корпоративный маршрут,+7 (863) 303-55-95,Phone,Official corporate,Official company website,https://advanta-rostov.ru/info/kontakty.html,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0593,N5K-0593-C02,Адванта-М Ростов,6165219934,,Корпоративный маршрут,sklad@advanta-rostov.ru,Email,Official department,Official company website,https://advanta-rostov.ru/info/kontakty.html,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0593,N5K-0593-C03,Адванта-М Ростов,6165219934,,Корпоративный маршрут,service@advanta-rostov.ru,Email,Official department,Official company website,https://advanta-rostov.ru/info/kontakty.html,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0594,N5K-0594-C01,Гермес-Сибирь,5402040179,,Корпоративный маршрут,+7 (383) 284-01-20,Phone,Official sales/corporate,Official company website,https://germes-plenki.ru/page/contacts,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0594,N5K-0594-C02,Гермес-Сибирь,5402040179,,Корпоративный маршрут,8-800-350-34-17,Phone,Official federal,Official company website,https://germes-plenki.ru/page/contacts,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0594,N5K-0594-C03,Гермес-Сибирь,5402040179,,Корпоративный маршрут,germes.zakaz@list.ru,Email,Official order email,Official company website,https://germes-plenki.ru/page/contacts,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0595,N5K-0595-C01,ЧЗСА / Чебоксарский завод силовых агрегатов,2127318285,,Корпоративный маршрут,+7 (835) 220-42-43,Phone,Official corporate,Official company website,https://chzsa.ru/contacts/,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0595,N5K-0595-C02,ЧЗСА / Чебоксарский завод силовых агрегатов,2127318285,,Корпоративный маршрут,mail@chzsa.ru,Email,Official corporate,Official company website,https://chzsa.ru/contacts/,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0595,N5K-0595-C03,ЧЗСА / Чебоксарский завод силовых агрегатов,2127318285,,Корпоративный маршрут,+7 (835) 220-39-44,Phone,Official sales/OEM/dealers,Official company website,https://chzsa.ru/contacts/,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0596,N5K-0596-C01,Алкор Био / Alkor Bio,7838370980,,Корпоративный маршрут,+7 (812) 677-87-79,Phone,Official corporate,Official company website,https://www.alkorbio.ru/about/requisites/,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0596,N5K-0596-C02,Алкор Био / Alkor Bio,7838370980,,Корпоративный маршрут,info@alkorbio.ru,Email,Official corporate,Official company website,https://www.alkorbio.ru/about/requisites/,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0596,N5K-0596-C03,Алкор Био / Alkor Bio,7838370980,,Корпоративный маршрут,+7 (812) 677-21-62,Phone,Official corporate,Official company website,https://www.alkorbio.ru/about/requisites/,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0597,N5K-0597-C01,Маловишерский стекольный завод / МВСЗ,5307008947,,Корпоративный маршрут,+7 (902) 149-86-19,Phone,Published company phone,Regional career/organization portal,https://copp-pit-53.ru/work-with-organizations/informationAboutOrganisation/0196BD8CFD57FF4A857278B1ABB2E358,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0597,N5K-0597-C02,Маловишерский стекольный завод / МВСЗ,5307008947,,Корпоративный маршрут,andreeva.sm@mvsteklo.ru,Email,Published company email,Regional career/organization portal,https://copp-pit-53.ru/work-with-organizations/informationAboutOrganisation/0196BD8CFD57FF4A857278B1ABB2E358,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
N5K-0597,N5K-0597-C03,Маловишерский стекольный завод / МВСЗ,5307008947,,Корпоративный маршрут,https://mvsteklo.ru/,Website,Official website route,Official company website,https://mvsteklo.ru/,NO,HIGH,2026-08-27,,N5K-20260827-445,new_5000
