Lead ID,Contact Type,Contact Value,Contact Source,Verified At,Run ID,Campaign ID
N5K-0086,Phone,+7 (831) 280-98-01,https://w-m.group/contacts,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0086,Email,info@w-m.group,https://w-m.group/contacts,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0086,Website,https://w-m.group/,https://w-m.group/contacts,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0086,Vacancy,https://hh.ru/vacancy/129742362,https://hh.ru/vacancy/129742362,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0087,Phone,+7 (495) 580-30-14,https://pek24.ru/about/contacts/,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0087,Email,info@pek24.ru,https://pek24.ru/about/contacts/,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0087,Website,https://pek24.ru/,https://pek24.ru/about/details/,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0087,Vacancy,https://hh.ru/vacancy/129368708,https://hh.ru/vacancy/129368708,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0088,Phone,+7 (495) 256-22-22,https://www.zaboroff.ru/,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0088,Email,mail@zaboroff.ru,https://www.zaboroff.ru/,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0088,Website,https://www.zaboroff.ru/,https://www.zaboroff.ru/about/,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
N5K-0088,Vacancy,https://hh.ru/vacancy/129646446,https://hh.ru/vacancy/129646446,2026-08-08T11:04:00+03:00,N5K-20260808-118,new_5000
