sent_at,lead_id,brand,inn,email,gmail_message_id,template_version,attachment,status
2026-09-04T06:56:46Z,N5K-0187,AdvoCall,7751201803,hello@advocall.me,1a06b33465208141,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:56:46Z,N5K-0589,Altapp,5259109389,info@altapp.ru,1a06b338e2df6049,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:56:46Z,N5K-0407,ANTEK PROJECT,5038159649,info@antek-pro.ru,1a06b33e36ef7909,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:56:46Z,N5K-0450,AQUADRENAG,7722330459,info@aquadrenag.ru,1a06b342f33e00cb,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:56:46Z,N5K-0628,BREEZ,7706739445,climate@breez.ru,1a06b347de5960ec,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:59:36Z,N5K-0542,BROX,3705011046,info@broxboiler.ru,1a06b35d5d62b6d7,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:59:36Z,N5K-0664,CENTEC,7842355783,info@centec.ru,1a06b36208335dc7,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:59:36Z,N5K-0672,ChatApp,2635251064,support@chatapp.online,1a06b366b86f4514,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:59:36Z,N5K-0575,COMITAS,7743928345,info@comitas.ru,1a06b36b9e881fda,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T06:59:36Z,N5K-0675,DEALLOG,7839118373,hello@deallog.ru,1a06b370434def3b,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T07:56:00Z,N5K-0590,Белгородский хладокомбинат,3125008530,217881@belhlado.ru,1a06b6d3c48d2ab1,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T07:56:00Z,N5K-0591,ПП Гофрокомбинат,5035040606,info@ppgk.ru,1a06b6d86cc7c0b5,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T07:56:00Z,N5K-0592,СЭГЗ,1827001683,info@segz.ru,1a06b6ddc346876f,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T07:56:00Z,N5K-0449,Силтрон,7708405173,ooosiltron@gmail.com,1a06b6e2b83f9a81,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
2026-09-04T12:31:05Z,N5K-0256,EVA PRO / Акцептум-Инжиниринг,2465135283,sales@1eva.pro,1a06c62f42780239,STRICT_SINGLE_BASELINE_2026-09-03,ALINA_business_tracker_2026_EMAIL.pdf,SENT
